symbol_number,name_in_hebrew,name_in_english,name_in_arabic,name_in_russian,Distance_From_Lebanon_Border,Distance_From_GazaStrip_Border,Distance_From_Syria_Border,Latitude,Longitude
80,נהלל ,NAHALAL ,نهلال,,43160.0,138580.0,53160,32.690278111131434,35.19412895317203
82,עין חרוד (מאוחד) ,EN HAROD(ME'UHAD) ,عين حَرود (مِؤُحاد),,250620.0,100050.0,221620,32.55724577439668,35.391841481197375
84,תל יוסף ,TEL YOSEF ,تيل يوسيف,Тель-Йосеф,55410.0,136560.0,40180,32.55513958644614,35.39941819181263
85,כפר יחזקאל ,KEFAR YEHEZQEL ,كفار يِحِزكيل,,54170.0,135250.0,42740,32.56660152380751,35.358649253124355
86,גבע ,GEVA ,چيڤع,Гева,54160.0,136050.0,41580,32.56642077015176,35.37316435007578
88,כרם בן שמן ,KEREM BEN SHEMEN ,كيرِم بين شيمِن,,126860.0,57770.0,117080,31.958412572867722,34.93397327089509
89,עין חרוד (איחוד) ,EN HAROD (IHUD) ,عين حَرود (إحود),,250620.0,100050.0,221620,32.564829694159386,35.39070861885066
90,חפצי-בה ,HEFZI-BAH ,حِفْتْسي־ڤاه,,147550.0,35230.0,139600,32.5194313532212,35.424549655658566
92,גיניגר ,GINNEGAR ,چِنيچار,,25710.0,169530.0,24970,32.66377865687367,35.25836447071116
94,בלפוריה ,BALFURIYYA ,بلفوريا,,47670.0,137560.0,45510,32.63016211196538,35.29672521334002
95,בית אלפא ,BET ALFA ,بيت ألفا,Бейт-Альфа,59840.0,135360.0,40050,32.517028508921484,35.4322966109766
96,יגור ,YAGUR ,يَچور,,38950.0,138590.0,64140,32.74364598603024,35.07548378983339
97,מרחביה (מושב) ,MERHAVYA(MOSHAV) ,مِرحَڤيا (موشاڤ),,245680.0,62700.0,224260,32.60392041691669,35.316555040280676
98,"כפר מל""ל ",KEFAR MALAL ,كفر مصر,,104570.0,74020.0,103770,32.167476329300335,34.89435347634542
99,מצפה רמון ,MIZPE RAMON ,مِتْسپي رَمون,,276200.0,84610.0,253670,30.611108822534877,34.79885272070843
102,מאיר שפיה ,ME'IR SHEFEYA ,مِئير شفِيا,,57150.0,119310.0,76120,32.59121110630061,34.970794820934564
103,תל עדשים ,TEL ADASHIM ,تيل عدَشيم,,44710.0,140330.0,44170,32.655976965977445,35.30133345962255
104,מזרע ,MIZRA ,مِزراع,,45550.0,138930.0,45850,32.650937473796866,35.28713116546049
106,כפר גדעון ,KEFAR GID'ON ,كفار چِدعون,,46180.0,138620.0,45530,32.6439971991674,35.29122224640448
107,כפר סילבר ,KEFAR SILVER ,كفار سيلڤِر,,164230.0,13950.0,161000,31.673388220594955,34.612226294470666
112,כפר חסידים א' ,KEFAR HASIDIM ALEF ,كفار حسيديم ألف,,37410.0,140350.0,62780,32.750227961967845,35.0930213266875
113,אדירים ,ADDIRIM ,أديريم,Аддирим,56890.0,128860.0,50880,32.54908930490888,35.27201495822611
115,חופית ,HOFIT ,حوفيت,,81470.0,94780.0,92350,32.38553107757353,34.87537742446442
122,רמת ישי ,RAMAT YISHAY ,رَمات يِشاي,,42510.0,138240.0,56120,32.703216944468174,35.16604254224934
126,שריד ,SARID ,سَريد,,45340.0,137140.0,51190,32.66326397929661,35.22536917305411
127,רמת רחל ,RAMAT RAHEL ,رَمات رَحيل,Рамат-Рахель,146660.0,65550.0,122900,31.739161605854193,35.21843603245379
128,גת רימון ,GAT RIMMON ,چات رِمون,Гат-Римон,115680.0,64000.0,112000,32.068467263396066,34.88006602493051
130,משמר העמק ,MISHMAR HAEMEQ ,مِشمار هعيمِك,,52920.0,128130.0,60010,32.609005465388066,35.14360109359764
132,כפר ברוך ,KEFAR BARUKH ,كفار بَروخ,,48100.0,133890.0,54670,32.646466721364575,35.19068063936391
133,גבת ,GEVAT ,چْڤات,Гват,44440.0,137660.0,52130,32.67506331137067,35.21216663403859
134,יפעת ,YIF'AT ,يِفعات,,43840.0,138490.0,50910,32.67774432020425,35.22473890088023
135,רמת דוד ,RAMAT DAWID ,رَمات دَڤيد ,Рамат-Давид,44390.0,137530.0,52930,32.67818744268996,35.202876869692716
139,עין שמר ,EN SHEMER ,عين شيمِر,,70640.0,107710.0,77590,32.46315291333738,35.007742852847855
140,כפר יהושע ,KEFAR YEHOSHUA ,كفار يِهوشووَع,Кфар-Иехошуа,44770.0,135720.0,57570,32.683248374950416,35.1520547416659
141,ברק ,BARAQ ,براك,Барак,57680.0,127910.0,51790,32.54305849183946,35.26507472056425
142,שדה יעקב ,SEDE YA'AQOV ,سْدي يعكوڤ,Сде-Яков,43060.0,136790.0,58410,32.698217604242004,35.141113309252255
143,בית זרע ,BET ZERA ,بيت زيرَع,Бейт-Зера,43920.0,158470.0,18750,32.688754560837985,35.573497976091694
144,גן שלמה ,GAN SHELOMO ,چان شموئيل,,59210.0,120040.0,67680,31.878201268273568,34.79825103889544
145,גדיש ,GADISH ,چديش,,56260.0,128300.0,52760,32.558867852361374,35.245199396866695
146,דבורה ,DEVORA ,دڤورا,Девора,56570.0,128760.0,51430,32.55254737922007,35.264557844980345
147,גבעת ברנר ,GIV'AT BRENNER ,چِڤعات برينِر,Гиват-Бренер,139090.0,41850.0,133090,31.867695500701707,34.8009356342825
154,תל מונד ,TEL MOND ,تيل موند,,94900.0,83310.0,96320,32.25297734075351,34.91817656006011
155,באר טוביה ,BE'ER TUVEYA ,بِئير توڤِيا,Беэр-Товия,154970.0,26000.0,148850,31.73173846552989,34.71943324164593
156,עיינות ,AYANOT ,عَيَنوت,,24370.0,162110.0,35130,31.91539404244622,34.768096729887006
157,עין ורד ,EN WERED ,عين ڤيرِد,,93410.0,85030.0,94580,32.26470756251118,34.931832147245984
158,נען ,NA'AN ,ناعَن,,135470.0,47230.0,127650,31.8832323743463,34.85822812944129
159,בית חנן ,BET HANAN ,بيت حَنان,Бейт-Ханан,132400.0,45960.0,129620,31.931324824472892,34.771796522194784
160,חולדה ,HULDA ,حُلدا,,68730.0,136100.0,39180,31.831073873750892,34.88267550792592
162,חירות ,HERUT ,حِروت,,30610.0,145940.0,66610,32.239724368310995,34.91572869476622
163,תימורים ,TIMMORIM ,تيموريم,,156250.0,26640.0,148250,31.714538461739078,34.761595982210885
164,מלאה ,MELE'A ,مِلِئة,,55840.0,128380.0,53190,32.563851190409025,35.23718804943828
165,ניר יפה ,NIR YAFE ,نير يَفي,,55030.0,129340.0,52280,32.57027388248998,35.24606555259277
166,גן יבנה ,GAN YAVNE ,چان يَڤني,Ган-Явне,59210.0,120040.0,67680,31.792518231090824,34.7160033955174
167,עין החורש ,EN HAHORESH ,عين هحوريش,,80020.0,97340.0,86930,32.386130243413724,34.94004394776802
168,כפר יונה ,KEFAR YONA ,كفار يونا,Кфар-Йона,87820.0,90050.0,91410,32.31615181926032,34.93187778188644
170,כפר יעבץ ,KEFAR YA'BEZ ,كفار يعبيتْس,,91920.0,87500.0,91380,32.27405440327632,34.96568866666695
171,פרדסיה ,PARDESIYYA ,پَرْدِسِيا,,89310.0,88120.0,93760,32.30618584279931,34.90932133340774
173,גבעת חיים (מאוחד) ,GIV'AT HAYYIM(ME'UHA ,چِڤعات حَييم (مِؤُحاد),,70870.0,107920.0,76490,32.39169745502199,34.931359788694124
174,נטעים ,NETA'IM ,نِتعيم,,131190.0,47050.0,128650,31.944742216385375,34.77400221447618
175,אביחיל ,AVIHAYIL ,أڤيحايِل,Авихаил,85300.0,91080.0,94460,32.35011345727486,34.87201783307551
176,אפיקים ,AFIQIM ,أفيكيم,,44920.0,158030.0,18710,32.68068169272391,35.57828549309733
177,"כפר ביל""ו ",KEFAR BILU ,كفار بيلو,,137980.0,43890.0,131020,31.87296508366142,34.826070469297214
178,רמת יוחנן ,RAMAT YOHANAN ,رَمات يوحَنان,,32820.0,145380.0,60180,32.79273752610815,35.12231451238993
182,אבן יהודה ,EVEN YEHUDA ,إيڤِن يِهودا,Эвен-Йехуда,93590.0,83600.0,97810,32.272998116879904,34.88628340355215
183,ירקונה ,YARQONA ,يَركونا,,106950.0,72140.0,104970,32.144725779412305,34.897373648431746
184,רמת הכובש ,RAMAT HAKOVESH ,رَمات هكوڤيش,,98450.0,80870.0,97120,32.21766936011225,34.937938770476904
186,נעורים ,NE'URIM ,نِعوريم,,83220.0,92940.0,94180,32.372136578915544,34.861646798045115
187,כפר הס ,KEFAR HESS ,كفار هيس,,95440.0,83330.0,95590,32.245514513315364,34.93360402862362
188,אשדות יעקב (מאוחד) ,ASHDOT YA'AQOV(ME'UH ,أشدوت يعكوڤ (مِؤُحاد),,150810.0,26100.0,149310,32.665547701266114,35.58153989037414
189,כפר פינס ,KEFAR PINES ,كفار پـينِس,,68320.0,109690.0,76980,32.48425234547459,35.00256819353295
190,כפר ויתקין ,KEFAR VITKIN ,كفار ڤيتكين,Кфар-Виткин,81750.0,94570.0,92190,32.38056117508743,34.877949376405695
191,הדר עם ,HADAR AM ,هَدار عام,,84800.0,92060.0,92090,32.349137205930205,34.90155375714343
192,כפר החורש ,KEFAR HAHORESH ,كفار هحورِش,,40220.0,143070.0,46060,32.70019845289014,35.273377328339905
193,כפר חיים ,KEFAR HAYYIM ,كفار حَييم,,84270.0,92540.0,91860,32.35413409751135,34.90029854506624
194,משמר השרון ,MISHMAR HASHARON ,مِشمار هشَرون,,83880.0,92990.0,91380,32.35622872296798,34.9046548860946
195,קדימה-צורן ,QADIMA-ZORAN ,كَديما–تْسُران        ,Кадима-Цоран,92320.0,85470.0,95200,32.2776014104554,34.91360681832927
196,גיבתון ,GIBBETON ,چِبتون,,136690.0,43670.0,131340,31.88873108138403,34.79994742889844
197,מעברות ,MA'BAROT ,معبروت,,83150.0,93680.0,91000,32.36351462252526,34.905129075482975
198,צופית ,ZOFIT ,تْسوفيت,,101420.0,77690.0,100070,32.191498103886595,34.9221536751953
199,אשדות יעקב (איחוד) ,ASHDOT YA'AQOV(IHUD) ,أشدوت يعكوڤ (إحود),,150810.0,26100.0,149310,32.658537052687414,35.580430911542884
200,בית ינאי ,BET YANNAY ,بيت يناي,,82200.0,93940.0,93570,32.37988936776395,34.86333697758973
202,בית עובד ,BET OVED ,بيت عوڤيد,Бейт-Овед,133640.0,45000.0,130410,31.921997117232397,34.77401804460304
204,אלישיב ,ELYASHIV ,إليَشيڤ,,81140.0,95640.0,89690,32.378980785808004,34.90947809986301
205,חגלה ,HOGLA ,هوجلا,,80190.0,96850.0,88070,32.38718634061794,34.92550810522224
206,רמות השבים ,RAMOT HASHAVIM ,رَموت هَشَڤيم,Рамот-Хашавим,104840.0,73520.0,104450,32.16599839729271,34.883564918021115
207,"גבעת ח""ן ",GIV'AT HEN ,چِڤعات حين,,104990.0,73060.0,105210,32.16873906125565,34.87803128750445
208,מוצא עילית ,MOZA ILLIT ,موتْسا عِليت,,141330.0,62560.0,120050,31.793897931834415,35.157300660937295
212,בית צבי ,BET ZEVI ,بيت تْسڤي,,97290.0,101230.0,74790,32.71926618870351,34.96970911964054
213,משמרות ,MISHMAROT ,مِشمَروت,,68160.0,109350.0,78330,32.487614356465556,34.98421790548214
217,"כפר הרא""ה ",KEFAR HARO'E ,كفار هروئي,,80030.0,96710.0,89070,32.39002381921373,34.9111086798325
218,גני עם ,GANNE AM ,چَني تِكڤا,,106280.0,72780.0,104430,32.15106871896518,34.90240391945546
219,חיבת ציון ,HIBBAT ZIYYON ,حِبات تْسِيون,,79290.0,97430.0,88590,32.397652837207325,34.912793401286706
220,כפר ביאליק ,KEFAR BIALIK ,كفار بياليك,,30220.0,146970.0,63740,32.82057233913121,35.08655458029876
223,עין עירון ,EN IRON ,عين عيرون,,68240.0,109960.0,76380,32.483684553604384,35.00965609360854
224,שושנת העמקים ,SHOSHANNAT HAAMAQIM ,شوشنات هعمكيم,,85270.0,90920.0,95470,32.35412052990675,34.85709240604096
225,גן השומרון ,GAN HASHOMERON ,چان هشومرون,,59210.0,120040.0,67680,32.463052270435654,35.00133693258604
229,גני תקווה ,GANNE TIQWA ,چَنيعام,Ганей-Тиква,116730.0,62930.0,113000,32.06112351648521,34.87546168491935
230,מעש ,MA'AS ,ماعَس,,155910.0,60540.0,132210,32.06369209604242,34.89137460638589
232,שפיים ,SHEFAYIM ,شْفييم,,100740.0,75740.0,105920,32.21977933332001,34.82735131644469
233,כפר ידידיה ,YEDIDYA ,كفار يِديديا,,85240.0,91600.0,92480,32.345664888021915,34.89855000865153
234,ביצרון ,BIZZARON ,بِتسَرون,Бизарон,148220.0,31510.0,143430,31.79610803222991,34.73022901999873
235,חבצלת השרון ,HAVAZZELET HASHARON ,حڤتسيلِت هشَرون,,84480.0,91740.0,94720,32.36081159496213,34.86282215127788
237,שער העמקים ,SHA'AR HAAMAQIM ,شاعَر هعمكيم,,40530.0,138110.0,60760,32.723737893890316,35.11239304153665
239,גן חיים ,GAN HAYYIM ,چان حَييم,Ган-Хаим,59210.0,120040.0,67680,32.19510419739292,34.90590137235571
240,יקנעם עילית ,YOQNE'AM ILLIT ,يُكنِعام عِليت,Йокнеам-Илит,103150.0,84950.0,89940,32.65661995603087,35.10422130089335
241,יקנעם (מושבה) ,YOQNE'AM(MOSHAVA) ,يُكنِعام (موشَڤا),Йокнеам (мошава),103150.0,84950.0,89940,32.65462707096201,35.114689827141156
242,בית השיטה ,BET HASHITTA ,بيت هشِتا,Бейт-ха-Шита,56100.0,138740.0,37140,32.550453569507496,35.439324717642165
246,נתיבות ,NETIVOT ,نِتيڤوت,Нетивот,191820.0,10650.0,184210,31.419975516988853,34.58396010871803
247,רשפון ,RISHPON ,رِشپون,,102560.0,74060.0,106910,32.19989612947211,34.824186434887025
248,בית שערים ,BET SHE'ARIM ,بيت شِعريم,Бейт Шаарим,43130.0,138210.0,54960,32.69581166684402,35.17760772540028
249,כפר סירקין ,KEFAR SIRKIN ,كفار سيركين,,114030.0,67280.0,108250,32.076519128402325,34.92433529710156
250,הזורע ,HAZOREA ,هزورعيم,,49230.0,130480.0,61250,32.645154988946786,35.12000971648606
252,ביתן אהרן ,BITAN AHARON ,بيتان أهرون,,83740.0,92540.0,93820,32.36453661468805,34.87065604478918
253,חולתה ,HULATA ,حولاتا,,10810.0,192760.0,20760,33.05158234216962,35.60993432118631
254,כפר המכבי ,KEFAR HAMAKKABI ,كفار همَكَبي,,33080.0,144940.0,60780,32.79058834439112,35.11543312873223
255,כפר חיטים ,KEFAR HITTIM ,كفار حِتيم,,30230.0,164100.0,24990,32.800941881527784,35.50321415647447
256,ניר דוד (תל עמל) ,NIR DAWID (TEL AMAL) ,تيل عَمال (نير دَڤيد),,61510.0,135790.0,39270,32.50362900794346,35.45816021385918
257,נופך ,NOFEKH ,نوفِخ,,117780.0,64140.0,111100,32.04368566986347,34.92037829650786
259,שדה נחום ,SEDE NAHUM ,سْدي نَحوم,Сде-Наум,59420.0,139160.0,35900,32.52574452040599,35.481944599913845
262,גינוסר ,GINNOSAR ,چِنوسار,Гиносар,25710.0,169530.0,24970,32.84810588137998,35.52373217290465
263,מסדה ,MASSADA ,مَسَدا,,45250.0,159530.0,16820,32.68285633704248,35.5985352412197
264,שער הגולן ,SHA'AR HAGOLAN ,شاعَر هچولان,,45100.0,160130.0,16200,32.686637499503064,35.6042400875987
265,בית יוסף ,BET YOSEF ,بيت يوسيف,,57370.0,146210.0,28650,32.55659599519902,35.54718396993263
267,כפר שמריהו ,KEFAR SHEMARYAHU ,كفار شموئيل,Кфар-Шмарьягу,104120.0,72530.0,108060,32.186418867019626,34.820905734698584
268,טירת צבי ,TIRAT ZEVI ,تيرات تْسڤي,,71720.0,133270.0,42270,32.421332488132464,35.52782832105101
269,מולדת ,MOLEDET ,موليدِت,,52250.0,141720.0,35030,32.585545711163356,35.441820875763696
270,עין השופט ,EN HASHOFET ,عين هشوفيت,,54800.0,124860.0,64140,32.5957584801257,35.10077797094033
272,מעוז חיים ,MA'OZ HAYYIM ,مَعوز حَييم,,64350.0,140630.0,34380,32.49309309028153,35.551157440630895
273,עין גב ,EN GEV ,عين چيڤ,,36330.0,170380.0,12200,32.780440285196725,35.63935621737156
274,כפר מנחם ,KEFAR MENAHEM ,كفر مندا,,153390.0,32840.0,142680,31.731001060703623,34.83431749711655
276,צור משה ,ZUR MOSHE ,تْسور مُشي,,90140.0,87460.0,93940,32.298730313930406,34.91335797912057
278,אושה ,USHA ,أوشا,,32500.0,145460.0,60890,32.795836052301105,35.11411134087213
280,חניתה ,HANITA ,حَنيتا,,540.0,177570.0,60020,33.08808343652624,35.17405577199524
281,פקיעין חדשה ,PEQI'IN HADASHA ,پكيعين هحدشا,,8610.0,172760.0,48660,32.98237665371476,35.32342159989138
282,שבי ציון ,SHAVE ZIYYON ,شَڤي تْسِيون,,12760.0,163360.0,68590,32.981313499423294,35.08411581823702
284,שדה ורבורג ,SEDE WARBURG ,سْدي ڤاربورچ,Сде-Варбург,100110.0,78230.0,100420,32.20918810903482,34.897413670152666
285,אלונים ,ALLONIM ,ألونيم,Алоним,40630.0,139100.0,57910,32.72086381484285,35.14420531180021
286,מעלה החמישה ,MA'ALE HAHAMISHA ,مَعلي هحمِشا,,139350.0,60000.0,119870,31.817651492262232,35.111327542479
287,תל יצחק ,TEL YIZHAQ ,تيل يِتسحاك,,95870.0,81140.0,100200,32.2524194035829,34.87180026131801
288,בית יהושע ,BET YEHOSHUA ,بيت يِهوشووَع,Бейт-Иехошуа,95140.0,81730.0,100020,32.260267649179724,34.86400860869559
289,עין המפרץ ,EN HAMIFRAZ ,عين همِفراتْس,,21030.0,155830.0,64710,32.90360381404426,35.09642123524509
290,מעין צבי ,MA'YAN ZEVI ,مَعيان تْسڤي,,183840.0,55590.0,159680,32.56785223849336,34.94037746336749
292,שרונה ,SHARONA ,شَرونا,,37390.0,155490.0,27720,32.72823297437267,35.46328656219168
293,שדה יואב ,SEDE YO'AV ,سْدي يوآڤ,Сде-Йоав,165590.0,15540.0,159300,31.643239668510134,34.68146544579041
294,אילון ,ELON ,إيلون,,2910.0,176600.0,56400,33.063899146164225,35.217734236809584
295,כפר רופין ,KEFAR RUPPIN ,كفار روپين,,68350.0,138060.0,37410,32.457599430328784,35.556635179587346
296,נווה איתן ,NEWE ETAN ,نِڤي إيتان,,64080.0,139390.0,35510,32.49191227892275,35.53265786482165
297,כפר מסריק ,KEFAR MASARYK ,كفار مِنَحيم,,22420.0,154580.0,63990,32.88995274462076,35.09929225675906
298,מסילות ,MESILLOT ,مِسِلوت,,62670.0,136150.0,38750,32.49523572199464,35.474423088009445
300,דליה ,DALIYYA ,دلِيا,Далия ,55650.0,123200.0,66740,32.58983042354166,35.07506023051756
301,בית עוזיאל ,BET UZZI'EL ,بيت عُزيئيل,,136930.0,48560.0,126280,31.870758722658767,34.90591151885316
302,דפנה ,DAFNA ,دَفنا,Дафна ,1960.0,210940.0,14020,33.23002763794469,35.63842667797495
303,דן ,DAN ,دان,Дан ,2680.0,212590.0,12370,33.24058478662197,35.65227122727038
304,שדה אליהו ,SEDE ELIYYAHU ,سْدي إلياهو,Сде-Элиягу,69330.0,133990.0,41140,32.44116668686239,35.51427167624234
305,גשר ,GESHER ,چيشِر,,50640.0,151390.0,24150,32.619613029537284,35.551442324638465
306,שדמות דבורה ,SHADMOT DEVORA ,شَدْموت دْڤورا,,40130.0,151130.0,31010,32.6965217043809,35.435478461398255
307,הזורעים ,HAZORE'IM ,هزيل,,36110.0,159260.0,24280,32.74658564988478,35.50183565998328
308,מחניים ,MAHANAYIM ,محَنايم,,74790.0,101400.0,88220,32.98932324541993,35.571502765308104
309,נהורה ,NEHORA ,نِهورا,,167420.0,15920.0,159560,31.622933789609938,34.70520900391597
310,כפר גליקסון ,KEFAR GLIKSON ,كفار چْليكْسون,,65930.0,111910.0,75950,32.505940411189535,35.0050349148227
311,גן שורק ,GAN SOREQ ,چان شلُمو,Ган-Сорек,59210.0,120040.0,67680,31.94455559316904,34.75875117101345
312,נווה ים ,NEWE YAM ,نِڤي يام,,48760.0,127120.0,78200,32.678718069473014,34.931692912856235
313,אפק ,AFEQ ,أفيك,,27580.0,150370.0,60250,32.83939211132623,35.12802736937576
315,נגבה ,NEGBA ,نيچْبا,,163850.0,17160.0,157670,31.660815583077564,34.68321031426671
316,כפר נטר ,KEFAR NETTER ,كفار نيتِر,,93420.0,83450.0,98640,32.277875399288256,34.87518007855862
317,בית אורן ,BET OREN ,بيت أورِن,Бейт-Орен,41270.0,134960.0,70850,32.73158776863124,35.00457637690683
318,עמיעוז ,AMMI'OZ ,عميعوز,,214820.0,6350.0,209430,31.248601091296592,34.41352618379616
319,עמיר ,AMIR ,عمير,,7230.0,205160.0,18270,33.17752462626683,35.62114298735375
320,כפר ורבורג ,KEFAR WARBURG ,كفار ڤاربورچ,,156570.0,24810.0,150040,31.7193910907679,34.72551275198363
322,בית הלל ,BET HILLEL ,بيت هِليل,Бейт-Хиллель,4280.0,207250.0,17830,33.20949640269861,35.6052318683742
324,שאר ישוב ,SHE'AR YASHUV ,شآر يَشوڤ,,2780.0,211070.0,13430,33.22993551599809,35.65020722989312
325,מצובה ,MAZZUVA ,مَتْسوڤا,,2690.0,174310.0,62040,33.062538150964315,35.157536202657944
326,בית יצחק-שער חפר ,BET YIZHAQ-SH. HEFER ,بيت يِتسحاك – شاعَر حيفِر,,82200.0,93940.0,93570,32.333784488801115,34.89053975633231
327,שדות ים ,SEDOT YAM ,سْدوت يام,,69650.0,106370.0,86290,32.493077979697865,34.893740738878385
